Incident Date,State,City Or County,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested,FIPS state,Population state,FIPS county,Population county
2024-09-11,South Carolina,Chester,0,0,0,0,1,45000,5118425.0,45023,32294.0
2024-09-11,Tennessee,Bolivar,0,0,0,0,1,47000,6910840.0,47069,25462.0
2024-09-11,Kentucky,Louisville,0,0,0,0,1,21000,4505836.0,21111,782969.0
2024-09-11,Georgia,Trion,0,1,0,0,0,13000,10711908.0,13055,24965.0
2024-09-11,North Carolina,Durham,0,0,0,0,1,37000,10439388.0,37063,324833.0
2024-09-11,Indiana,Anderson,0,0,0,0,1,18000,6785528.0,18095,130129.0
2024-09-11,South Dakota,Sioux Falls,0,0,0,0,1,46000,886667.0,46099,197214.0
2024-09-11,West Virginia,New Haven,0,0,0,0,1,54000,1793716.0,54053,25453.0
2024-09-11,Ohio,Cincinnati,0,0,0,0,1,39000,11799448.0,39061,830639.0
2024-09-11,Florida,Altamonte Springs,0,0,0,0,1,12000,21538187.0,12117,470856.0
2024-09-11,Washington,Bothell,0,0,0,0,1,53000,7705281.0,53033,2269675.0
2024-09-11,Alabama,Pinson,0,0,0,0,1,01000,5024279.0,01073,674721.0
2024-09-11,Florida,Orange Park,0,0,0,0,1,12000,21538187.0,12019,218245.0
2024-09-10,Virginia,Norfolk,0,0,0,0,1,51000,8631393.0,51710,238005.0
2024-09-10,Virginia,Newport News,1,0,0,0,0,51000,8631393.0,51700,186247.0
2024-09-10,South Carolina,Aiken,0,0,0,0,1,45000,5118425.0,45003,168808.0
2024-09-10,Nebraska,Omaha,0,1,0,0,1,31000,1961504.0,31055,584526.0
2024-09-10,Tennessee,Memphis,0,0,0,0,0,47000,6910840.0,47157,929744.0
2024-09-10,Illinois,Lombard,0,0,0,0,1,17000,12812508.0,17043,932877.0
2024-09-09,Iowa,Des Moines,0,0,0,0,1,19000,3190369.0,19153,492401.0
2024-09-09,Pennsylvania,Philadelphia,0,1,0,0,0,42000,13002700.0,42101,1603797.0
2024-09-09,North Carolina,Raleigh,0,0,0,0,1,37000,10439388.0,37183,1129410.0
2024-09-09,North Carolina,Statesville,0,0,0,0,1,37000,10439388.0,37097,186693.0
2024-09-09,Washington,Vancouver,0,0,0,0,2,53000,7705281.0,53011,503311.0
2024-09-09,North Carolina,Raleigh,0,0,0,0,1,37000,10439388.0,37183,1129410.0
2024-09-09,Mississippi,Booneville,0,0,0,0,1,28000,2961279.0,28117,25008.0
2024-09-07,Florida,Opa Locka,0,5,0,0,0,12000,21538187.0,12086,2701767.0
2024-09-07,Nebraska,Lincoln,0,0,0,0,1,31000,1961504.0,31109,322608.0
2024-09-06,Ohio,Cincinnati,0,0,0,0,1,39000,11799448.0,39061,830639.0
2024-09-06,Mississippi,Caledonia,0,0,0,0,0,28000,2961279.0,28087,58879.0
2024-09-06,Maryland,Joppa (Joppatowne),1,0,0,0,1,24000,6177224.0,24025,260924.0
2024-09-06,North Carolina,Rolesville,0,0,0,0,1,37000,10439388.0,37183,1129410.0
2024-09-06,Tennessee,Nashville,0,0,0,0,1,47000,6910840.0,47037,715884.0
2024-09-06,West Virginia,Martinsburg,0,3,0,0,0,54000,1793716.0,54003,122076.0
2024-09-05,New Mexico,Albuquerque,0,0,0,0,1,35000,2117522.0,35001,676444.0
2024-09-05,Georgia,Stockbridge,0,0,0,0,1,13000,10711908.0,13151,240712.0
2024-09-05,Kentucky,Manchester,0,0,0,0,1,21000,4505836.0,21051,20345.0
2024-09-05,Georgia,Thomasville,0,0,0,0,1,13000,10711908.0,13275,45798.0
2024-09-05,Illinois,Kankakee,0,0,0,0,0,17000,12812508.0,17091,107502.0
2024-09-05,South Carolina,Union,0,0,0,0,1,45000,5118425.0,45087,27244.0
2024-09-05,New York,Tonawanda,0,0,0,0,0,36000,20201249.0,36029,954236.0
2024-09-05,Washington,Kent,0,0,0,0,1,53000,7705281.0,53033,2269675.0
2024-09-05,Tennessee,Memphis,0,0,0,0,0,47000,6910840.0,47157,929744.0
2024-09-04,New York,Bronx,0,1,0,0,0,36000,20201249.0,36005,1472654.0
2024-09-04,Oklahoma,Sapulpa,0,0,0,0,0,40000,3959353.0,40037,71754.0
2024-09-04,Illinois,Elgin,0,0,0,0,1,17000,12812508.0,17089,516522.0
2024-09-04,Wisconsin,La Crosse,0,0,0,0,1,55000,5893718.0,55063,120784.0
2024-09-04,Georgia,Winder,4,7,0,0,1,13000,10711908.0,13013,83505.0
2024-09-04,Arizona,Tucson,0,0,0,0,0,04000,7151502.0,04019,1043433.0
2024-09-04,Alabama,Cottonwood,0,0,0,0,1,01000,5024279.0,01069,107202.0
2024-09-04,Oklahoma,Tulsa,0,0,0,0,0,40000,3959353.0,40143,669279.0
2024-09-04,Texas,Carthage,0,0,0,0,1,48000,29145505.0,48365,22491.0
2024-09-04,Iowa,Davenport,0,0,0,0,2,19000,3190369.0,19163,174669.0
2024-09-04,Wisconsin,Chippewa Falls,0,0,0,0,0,55000,5893718.0,55017,66297.0
2024-09-03,New York,Frankfort,0,0,0,0,0,36000,20201249.0,36043,60139.0
2024-09-03,Georgia,Pelham,0,0,0,0,1,13000,10711908.0,13205,21755.0
2024-09-03,Michigan,Rockford,0,0,0,0,0,26000,10077331.0,26081,657974.0
2024-09-03,Tennessee,Apison,0,0,0,0,1,47000,6910840.0,47065,366207.0
2024-09-03,Pennsylvania,Drexel Hill,0,0,0,0,1,42000,13002700.0,42045,576830.0
2024-09-03,Louisiana,Baton Rouge,0,0,0,0,1,22000,4657757.0,22033,456781.0
2024-09-03,Iowa,Dubuque,0,0,0,0,1,19000,3190369.0,19061,99266.0
2024-09-02,Ohio,Cleveland (East Cleveland),0,3,0,0,0,39000,11799448.0,39035,1264817.0
2024-08-30,Alabama,Huntsville,0,1,0,0,0,01000,5024279.0,01089,388153.0
